d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
5, 5, 1, 100000, 0.5207, 2.6319, 1.9012, 0
5, 5, 2, 1000, 0.2787, 0.3832, 0.0477, 0
5, 5, 2, 10000, 0.4383, 0.3056, 0.2338, 0
5, 5, 2, 50000, 0.1343, 0.1788, 0.9874, 0
5, 5, 2, 100000, 0.4009, 0.1131, 1.9298, 0
5, 5, 3, 1000, 0.1727, 0.3162, 0.0503, 0
5, 5, 3, 10000, 0.2142, 0.4524, 0.2271, 0
5, 5, 3, 50000, 0.1264, 0.1558, 1.0387, 0
5, 5, 3, 100000, 0.0681, 0.1417, 1.9187, 0
5, 5, 4, 1000, 0.3876, 0.6742, 0.0463, 0
5, 5, 4, 10000, 0.3238, 0.6320, 0.2355, 0
5, 5, 4, 50000, 0.1804, 0.2538, 0.9707, 0
5, 5, 4, 100000, 0.0966, 0.1432, 1.9009, 0
5, 5, 5, 1000, 0.3419, 0.2403, 0.0478, 0
5, 5, 5, 10000, 0.1334, 0.1849, 0.2236, 0
5, 5, 5, 50000, 0.0640, 0.0439, 0.9877, 1
5, 5, Median, 100000.0, 0.0966, 0.1432, 1.9009, 0.20
5, 6, 1, 1000, 0.4647, 0.2096, 0.0622, 0
5, 6, 1, 10000, 0.3228, 0.1967, 0.2635, 0
5, 6, 1, 50000, 0.3086, 0.3944, 1.1551, 0
5, 6, 1, 100000, 0.1236, 0.3086, 2.2512, 0
5, 6, 2, 1000, 0.5014, 0.4274, 0.0771, 0
5, 6, 2, 10000, 0.3824, 0.5177, 0.2769, 0
5, 6, 2, 50000, 0.5105, 0.3029, 1.1512, 0
5, 6, 2, 100000, 0.2762, 0.4589, 2.2785, 0
5, 6, 3, 1000, 0.1851, 0.0824, 0.0623, 0
5, 6, 3, 10000, 0.2281, 0.3098, 0.2796, 0
5, 6, 3, 50000, 0.4608, 0.2840, 1.1580, 0
5, 6, 4, 1000, 0.2603, 0.5013, 0.0637, 0
5, 6, 4, 10000, 0.2258, 0.3241, 0.2931, 0
5, 6, 4, 50000, 0.2845, 0.2439, 1.1600, 0
5, 6, 4, 100000, 0.2174, 0.2778, 2.2725, 0
5, 6, 5, 1000, 0.4816, 0.2192, 0.0787, 0
5, 6, 5, 10000, 0.3133, 0.1471, 0.2629, 0
5, 6, 5, 50000, 0.2057, 0.2473, 1.1523, 0
5, 6, 5, 100000, 0.2768, 0.2707, 2.2581, 0
5, 6, Median, 100000.0, 0.2057, 0.2778, 2.2512, 0.00
6, 1, 1, 1000, 0.0027, 0.0000, 0.0412, 1
6, 1, 2, 1000, 0.0043, 0.0000, 0.0419, 1
6, 1, 3, 1000, 0.0043, 0.0000, 0.0401, 1
6, 1, 4, 1000, 0.0030, 0.0000, 0.0413, 1
6, 1, 5, 1000, 0.0077, 0.0000, 0.0421, 1
6, 1, Median, 1000.0, 0.0043, 0.0000, 0.0413, 1.00
6, 2, 1, 1000, 0.0127, 0.0297, 0.0402, 1
6, 2, 2, 1000, 0.0081, 0.0171, 0.0443, 1
